var A,var B,var C,var D,var E,var F,source,target
Color,Object,Color,Support,,,<A> <B> is on <C> <D>,<isOn> <B> <D>
Object,Object,,,,,<A> is on the left of <B>,<isOnLeftOf>
Object,Object,,,,,<A> is in front of <B>,<isInFrontOf>
Object,Object,,,,,<A> is inside <B>,<isIn>
Object,Object,,,,,<A> is above <B>,<isAbove>
Object,Object,,,,,<> is near <>,<isNear>
Color,Object,,,,,<> is close of <>,<isCloseOf>
Color,Object,,,,,hold me the <A> <B>,SELECT ?a WHERE { ?a hasName regex( <B> ) . ?a hasColor regex( <A> ) . ?a isGraspable true . ?a isHeldBy SENDER . ?a isHeavy true }
Color,Object,,,,,carry the <A> <B>,SELECT ?a WHERE { ?a hasName regex( <B> ) . ?a hasColor regex( <A> ) . ?a isGraspable true . ?a isHeldBy SENDER . ?a isLiftable true }
Object,Support,,,,,what are the <A> on the <B>,SELECT ?a WHERE {?a hasName regex( <A> ) . ?b isSupport true . ?a isOn ?b }
Object,Support,,,,,give me the <A> that is on the <B>,SELECT ?a WHERE {?a hasName regex( <A> ) . ?b hasName regex( <B> ) . ?b isSupport true . ?a isOn ?b . ?a isReachableBy <receiver> }
Object,Container,,,,,what are the <A> inside the <B>,SELECT ?a WHERE { ?a hasName regex( <A> ) . ?b  hasName regex( <B> ) . ?a isIn ?b }
